time,Real,Predicted Value
36.003813,32.06965104290431,27.027069985582873
36.333587,32.29093718778647,27.349752067911506
36.621486,32.50338808386262,27.671798337194083
36.909384,32.723549953486334,27.99215529298204
37.254863,32.941036303248374,28.29342857544613
37.526137,33.17303380951951,28.719112371235354
37.821743,33.40657095796604,29.31554677717337
38.146794,33.65880773937468,30.10726396670131
38.450155,33.91213746948657,31.02963377573645
38.714994,34.15304448010194,31.957136498851405
39.043395,34.422527110263374,32.77616580353279
39.334718,34.69358883085488,33.555941774319905
39.626041,35.012732172689965,34.26220012129295
39.911424,35.39226847195782,34.86974037116676
40.230606,35.76765922375569,35.28265221438126
40.518392,36.15061243802469,35.5259458444049
40.806179,36.577933336383225,35.635825477093604
41.115718,37.00629845324805,35.73743025824134
41.424365,37.41152136752788,36.02544428616109
41.711995,37.83202235879755,36.57423448238538
42.009651,38.273977399400366,37.36278652959648
42.318929,38.757024758711324,38.18381609283881
42.621055,39.29811558381589,38.9825597126713
42.939736,39.84476165137393,39.602783736668215
43.226549,40.462829944276734,39.967383070324956
43.527019,41.11621138657675,39.96098317112417
43.827489,41.72468215116395,39.64820492120633
44.12796,42.31894690309444,39.11549568997893
44.42843,42.84478981752159,38.54893521526313
44.7289,43.28565887087786,38.20393006175555
45.029371,43.667225595019055,38.0880589353263
45.314526,44.063747848655915,38.22102275846076
45.613198,44.4545245800226,38.50335159673514
45.930564,44.830445562773114,39.07557869721175
46.228094,45.180100969362044,39.76410853443355
46.533559,45.53365247122222,40.544868391102135
46.839024,45.891035094757704,41.2810377970665
47.10085,46.20521259747399,41.96785511593798
47.415043,46.53382816140392,42.696037410572
47.701059,46.86319556265839,43.40676965372312
48.04428,47.245291357509444,44.083302580550395
48.313953,47.72819832744344,44.59037508720556
48.628571,48.30390847675992,44.95167933135356
48.911728,48.899660659940494,45.077310420088274
49.223245,49.484040143344764,45.21557887323469
49.521195,50.079335190868136,45.47467036901574
49.809834,50.61796166029785,45.966441593825365
50.11586,51.1127100680932,46.52720549558846
50.421886,51.62779985239111,47.19406199759078
50.701134,52.16007747330257,47.89813908812846
51.010526,52.69518608660887,48.768246921166494
51.327949,53.19528553412757,49.885087343842216
51.631265,53.680988689172864,51.14500426576444
51.917697,54.151376639459215,52.30346955858652
52.206593,54.62164392449595,53.16712644174124
52.512892,55.083673485760826,53.864887170558646
52.802541,55.49718633473783,54.69303598352831
53.109087,55.912321203127945,55.64760485032634
53.418943,56.32666014496771,56.826903462591716
53.708143,56.747777225156085,58.0350178646596
54.011113,57.179487321969404,59.37873680244007
54.317871,57.68690326048885,60.81950772868085
54.600567,58.29249198199869,62.401591585135264
54.923071,59.00306875261664,63.791539236432044
